,Faculty Home Page,# Pubs,Adj. #
,http://www.cs.cmu.edu/~zivbj,https://dblp.org/pers/hd/b/Bar=Joseph:Ziv,2.0
,http://users.ece.cmu.edu/~jhoe,https://dblp.org/pers/hd/h/Hoe:James_C%3D,1.3
,http://vdel.me.cmu.edu,https://dblp.org/pers/hd/k/Kara:Levent_Burak,2.0
,https://www.andrew.cmu.edu/user/ko,https://dblp.org/pers/hd/o/Oflazer:Kemal,1.6
,https://users.ece.cmu.edu/~brunos,https://dblp.org/pers/hd/s/Sinopoli:Bruno,1.2
,https://www.cs.cmu.edu/~crary,https://dblp.org/pers/hd/c/Crary:Karl,4.0
,https://www.ri.cmu.edu/ri-faculty/changliu-liu,https://dblp.org/pers/hd/l/Liu:Changliu,1.6
,https://www.ece.cmu.edu/directory/department/faculty/M/Radu_Marculescu_109.html,https://dblp.org/pers/hd/m/Marculescu:Radu,1.1
,http://www.cs.cmu.edu/~illah,https://dblp.org/pers/hd/n/Nourbakhsh:Illah_R%3D,1.5
,https://rohan.padhye.org,https://dblp.org/pers/hd/p/Padhye:Rohan,1.5
,http://www.cs.cmu.edu/~roni,https://dblp.org/pers/hd/r/Rosenfeld:Ronald,0.9
,https://www.math.cmu.edu/~af1p,https://dblp.org/pers/hd/f/Frieze:Alan_M%3D,1.8
,https://www.cs.cmu.edu/~garlan,https://dblp.org/pers/hd/g/Garlan:David,1.0
,https://www.cs.cmu.edu/~satya,https://dblp.org/pers/hd/s/Satyanarayanan:Mahadev,0.9
,https://www.cs.cmu.edu/~dps,https://dblp.org/pers/hd/s/Siewiorek:Daniel_P%3D,0.9
,http://www.cs.cmu.edu/~./aleven,https://dblp.org/pers/hd/a/Aleven:Vincent,0.8
,https://www.cs.cmu.edu/~breaux,https://dblp.org/pers/hd/b/Breaux:Travis_D%3D,0.5
,https://www.hcii.cmu.edu/people/justine-cassell,https://dblp.org/pers/hd/c/Cassell:Justine,0.8
,http://www.cnbc.cmu.edu/~tai,https://dblp.org/pers/hd/l/Lee:Tai_Sing,0.7
,https://users.ece.cmu.edu/~fedder,https://dblp.org/pers/hd/f/Fedder:Gary_K%3D,0.4
,http://www.cs.cmu.edu/~seth,https://dblp.org/pers/hd/g/Goldstein:Seth_Copen,0.5
,http://www.cs.cmu.edu/~sssykim,https://dblp.org/pers/hd/k/Kim:Seyoung,1.0
,http://www.cs.cmu.edu/~cjl,https://dblp.org/pers/hd/l/Langmead:Christopher_J%3D,0.6
,http://heather.miller.am,https://dblp.org/pers/hd/m/Miller:Heather,0.3
,http://murphylab.web.cmu.edu,https://dblp.org/pers/hd/m/Murphy:Robert_F%3D,0.6
,http://www.cs.cmu.edu/~fp,https://dblp.org/pers/hd/p/Pfenning:Frank,0.7
,http://www.cs.cmu.edu/~brookes,https://dblp.org/pers/hd/b/Brookes:Stephen_D%3D,0.3
,http://www.cs.cmu.edu/~bryant,https://dblp.org/pers/hd/b/Bryant:Randal_E%3D,0.1
,http://www.cs.cmu.edu/~me,https://dblp.org/pers/hd/e/Erdmann:Michael_A%3D,0.1
,http://www.rayidghani.com,https://dblp.org/pers/hd/g/Ghani:Rayid,0.3
,https://www.ece.cmu.edu/directory/details/89,https://dblp.org/pers/hd/k/Krogh:Bruce_H%3D,0.2
,http://www.cs.cmu.edu/~mostow,https://dblp.org/pers/hd/m/Mostow:Jack,0.5
,http://www.cs.cmu.edu/~priya,https://dblp.org/pers/hd/n/Narasimhan:Priya,0.2
,http://www.cs.cmu.edu/~scott,https://dblp.org/pers/hd/s/Scott:Dana_S%3D,0.2
,https://www.hcii.cmu.edu/people/john-stamper,https://dblp.org/pers/hd/s/Stamper:John_C%3D,0.3
